#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,2224.239314
-43.00967,490,2224.239326
-43.00967,490,2224.239337
-43.00967,490,2224.239348
-43.00967,490,2224.239359
-43.00967,490,2224.239372
-43.00967,490,2224.239389
-43.00967,490,2224.239405
-43.00967,490,2224.239423
-43.00967,490,2224.239436
-43.00967,490,2224.239449
-43.00967,490,2224.239487
-43.00967,490,2224.239503
-43.00967,490,2224.239514
-43.00967,490,2224.239526
-43.00967,490,2224.239537
-43.00967,490,2224.239548
-43.00967,490,2224.239559
-43.00967,490,2224.23957
-43.00967,490,2224.239582
-43.00967,490,2224.239593
-43.00967,490,2224.239604
-43.00967,490,2224.239616
-43.00967,490,2224.239627
-43.00967,490,2224.239638
-43.00967,490,2224.239649
-43.00967,490,2224.23966
-43.00967,490,2224.239672
-43.00967,490,2224.239683
-43.00967,490,2224.239694
-43.00967,490,2224.239705
-43.00967,490,2224.239715
-43.00967,490,2224.239726
-43.00967,490,2224.239737
-43.00967,490,2224.239749
-43.00967,490,2224.23976
-43.00967,490,2224.23977
-43.00967,490,2224.239781
-43.00967,490,2224.239792
-43.00967,490,2224.239803
-43.00967,490,2224.239815
-43.00967,490,2224.239826
-43.00967,490,2224.239836
-43.00967,490,2224.239847
-43.00967,490,2224.23986
-43.00967,490,2373.663186
-43.00967,490,2373.663284
-43.00967,490,2373.6633
-43.00967,490,2373.663313
-43.00967,490,2373.663325
-43.00967,490,2373.663337
-43.00967,490,2373.663347
-43.00967,490,2373.663359
-43.00967,490,2373.66337
-43.00967,490,2373.663381
-43.00967,490,2373.663392
-43.00967,490,2373.663402
-43.00967,490,2373.663414
-43.00967,490,2373.663426
-43.00967,490,2373.663439
-43.00967,490,2373.663452
-43.00967,490,2373.663463
-43.00967,490,2373.663473
-43.00967,490,2373.663484
-43.00967,490,2373.663495
-43.00967,490,2373.663505
-43.00967,490,2373.663516
-43.00967,490,2373.663527
-43.00967,490,2373.663537
-43.00967,490,2373.663547
-43.00967,490,2373.663558
-43.00967,490,2373.663569
-43.00967,490,2373.66358
-43.00967,490,2373.66359
-43.00967,490,2373.663601
-43.00967,490,2373.663612
-43.00967,490,2373.663622
-43.00967,490,2373.663632
-43.00967,490,2373.663643
-43.00967,490,2373.663654
-43.00967,490,2373.663664
-43.00967,490,2373.663675
-43.00967,490,2373.663686
-43.00967,490,2373.663697
-43.00967,490,2373.663707
-43.00967,490,2373.663718
-43.00967,490,2373.663728
-43.00967,490,2373.663739
-43.00967,490,2373.663749
-43.00967,490,2373.66376
-43.00967,490,2373.663771
-43.00967,490,2373.663781
-43.00967,490,2373.663792
-43.00967,490,2373.663802
-43.00967,490,2373.663813
-43.00967,490,2373.663823
